Time of stimulation spike application (stimulation lasts 4 ms),,,,,,,,
10Hz_LV0.00,10Hz_LV0.39,10Hz_LV1.00,10Hz_LV1.28,,20Hz_LV0.00,20Hz_LV0.38,20Hz_LV1.01,20Hz_LV1.24
16.51378,16.33124,16.5225,17.55598,,13.263780,12.92392,13.71248,13.51366
16.6138,16.41676,16.5284,17.69144,,13.313800,12.98212,13.71818,13.58196
16.7138,16.4422,16.73718,17.70938,,13.363780,13.0285,13.73888,13.58846
16.81378,16.63696,17.03958,17.71798,,13.413800,13.0866,13.90432,13.68244
16.9138,16.73758,17.0664,17.89056,,13.463780,13.12526,13.92534,13.68924
17.01378,16.86244,17.1174,18.02556,,13.513780,13.19116,14.06554,13.77936
17.1138,17.0216,17.15594,18.032,,13.563800,13.2212,14.08812,13.79036
17.21378,17.16506,17.25766,18.05236,,13.613780,13.25176,14.12956,13.88074
17.31378,17.26694,17.34688,18.10102,,13.663800,13.30922,14.35892,13.8868
17.4138,17.33848,17.45956,18.12488,,13.713780,13.35,14.37746,13.96978
17.51378,17.481,17.49512,18.13378,,13.763780,13.41628,14.6694,13.98618
17.6138,17.61224,18.10238,18.15488,,13.813800,13.42908,14.71232,14.01758
17.71378,17.7048,18.25536,18.22316,,13.863780,13.4993,14.76712,14.02504
17.81378,17.83422,18.28028,18.35026,,13.913800,13.53754,14.77404,14.0483
17.9138,18.0625,18.31304,18.35946,,13.963780,13.58912,14.9054,14.10246
18.01378,18.0769,18.3803,18.74136,,14.013780,13.6616,14.9918,14.10768
18.11378,18.12296,18.49604,18.78242,,14.063780,13.70244,15.06366,14.2295
18.2138,18.22246,18.5013,18.79388,,14.113800,13.7368,15.14104,14.3085
18.3138,18.30024,18.50686,18.91234,,14.163800,13.78426,15.16864,14.31972
18.4138,18.39006,18.5165,18.97056,,14.213780,13.9167,15.17434,14.3581
18.51378,18.51234,18.58826,18.97724,,14.263780,14.03686,15.18128,14.36774
18.61378,18.61426,18.8183,19.11176,,14.313780,14.12064,15.2862,14.43906
18.7138,18.72168,18.87468,19.11992,,14.363800,14.165,15.30058,14.4916
18.8138,18.82218,18.88468,19.15802,,14.413800,14.21036,15.47776,14.49868
18.9138,18.94084,18.8899,19.16328,,14.463780,14.27004,15.49472,14.53044
19.01378,19.02318,18.89518,19.27838,,14.513780,14.29954,15.49974,14.74822
19.11378,19.09654,18.94658,19.29922,,14.563780,14.33712,15.5159,14.75484
19.2138,19.22604,19.14014,19.3067,,14.613800,14.37168,15.54362,14.76566
